tool,dataset,rep,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Host_Remaining_Rate,Microbe_Loss_Rate,Total_Reads
rc_minimap2,5M_1pct_low_even_SE,1,47232,4949499,120,10,0.9999739836669461,0.9974657881398885,0.9997883239490284,0.9986257056472926,0.00021167605097159307,2.424429031810327e-05,4996861
rc_minimap2,10M_10pct_med_even_SE,1,950453,8490890,50145,243,0.9946913792647516,0.9498849687886644,0.9997443977885675,0.9741771357878412,0.0002556022114324663,0.005871068319003493,9491731
rc_minimap2,30M_50pct_high_skewed_SE,1,14260591,9575451,41460,4228,0.9980869057643647,0.9971011150778304,0.9997036064740814,0.998400664826073,0.0002963935259185553,0.004311155629910686,23881730
rc_minimap2,60M_90pct_high_lognormal_SE,1,51336051,4813328,20093,15122,0.9993732267603465,0.9996087517785603,0.9997055179245857,0.9996571325098484,0.00029448207541432403,0.004157097012654184,56184594
rc_bowtie2,5M_1pct_low_even_SE,1,47216,4949607,12,26,0.9999923952257227,0.9997459134411789,0.9994496422674739,0.9995977559013444,0.000550357732526142,2.424429031810327e-06,4996861
rc_bowtie2,10M_10pct_med_even_SE,1,950194,8492539,48496,502,0.994837822521519,0.951440386906848,0.9994719658018967,0.9748649061807153,0.0005280341981032844,0.0056780003828575815,9491731
rc_bowtie2,30M_50pct_high_skewed_SE,1,14257832,9578260,38651,6987,0.998088999415034,0.997296467949495,0.9995101935748361,0.9984021036575993,0.0004898064251638945,0.00401906599738731,23881730
rc_bowtie2,60M_90pct_high_lognormal_SE,1,51325954,4814667,18754,25219,0.9992173477305897,0.9996347432728607,0.9995088914521972,0.9995718134011626,0.0004911085478027931,0.0038800675546367676,56184594
rc_centrifuge,5M_1pct_low_even_SE,1,46727,4949569,50,515,0.999886929014035,0.9989310986168416,0.989098683374963,0.9939905763728607,0.010901316625037044,1.010178763254303e-05,4996861
rc_centrifuge,10M_10pct_med_even_SE,1,939491,8453348,87687,11205,0.9895812470875965,0.9146331015656488,0.9882138980283919,0.9500008595087452,0.01178610197160817,0.010266554346165307,9491731
rc_centrifuge,30M_50pct_high_skewed_SE,1,14097516,9556165,60746,167303,0.9904509011700576,0.9957095016323331,0.9882716352727644,0.9919766263199968,0.011728364727235586,0.006316581280621189,23881730
rc_centrifuge,60M_90pct_high_lognormal_SE,1,50749829,4796670,36751,601344,0.9886428831362561,0.9992763639528395,0.9882895761699543,0.9937526038976009,0.011710423830045712,0.007603517260342105,56184594
