dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
100M_50pct_high_lognormal_SE,1,rustyclean_sylph,0.998321,0.999415,0.996923,0.998167,40157339,23525,47526924,123931
100M_50pct_high_lognormal_SE,2,rustyclean_sylph,0.998321,0.999415,0.996923,0.998167,40157339,23525,47526924,123931
100M_50pct_high_lognormal_SE,3,rustyclean_sylph,0.998321,0.999415,0.996923,0.998167,40157339,23525,47526924,123931
100M_90pct_high_lognormal_SE,1,rustyclean_sylph,0.999283,0.994734,0.996946,0.995839,8031392,42520,85542610,24599
100M_90pct_high_lognormal_SE,2,rustyclean_sylph,0.999283,0.994734,0.996946,0.995839,8031392,42520,85542610,24599
100M_90pct_high_lognormal_SE,3,rustyclean_sylph,0.999283,0.994734,0.996946,0.995839,8031392,42520,85542610,24599
10M_0pct_med_lognormal_SE,1,rustyclean_sylph,1.000000,1.000000,1.000000,1.000000,9801919,0,0,0
10M_0pct_med_lognormal_SE,2,rustyclean_sylph,1.000000,1.000000,1.000000,1.000000,9801919,0,0,0
10M_0pct_med_lognormal_SE,3,rustyclean_sylph,1.000000,1.000000,1.000000,1.000000,9801919,0,0,0
10M_100pct_med_lognormal_SE,1,rustyclean_sylph,0.999512,0.000000,0.000000,0.000000,0,4637,9504261,0
10M_100pct_med_lognormal_SE,2,rustyclean_sylph,0.999512,0.000000,0.000000,0.000000,0,4637,9504261,0
10M_100pct_med_lognormal_SE,3,rustyclean_sylph,0.999512,0.000000,0.000000,0.000000,0,4637,9504261,0
10M_10pct_med_even_SE,1,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
10M_10pct_med_even_SE,2,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
10M_10pct_med_even_SE,3,rustyclean_sylph,0.994838,0.999941,0.994322,0.997123,8492538,502,950194,48497
10M_1pct_med_lognormal_SE,1,rustyclean_sylph,0.998910,0.999995,0.998905,0.999450,9693297,53,94742,10623
10M_1pct_med_lognormal_SE,2,rustyclean_sylph,0.998910,0.999995,0.998905,0.999450,9693297,53,94742,10623
10M_1pct_med_lognormal_SE,3,rustyclean_sylph,0.998910,0.999995,0.998905,0.999450,9693297,53,94742,10623
10M_30pct_med_lognormal_SE,1,rustyclean_sylph,0.999086,0.999795,0.998910,0.999352,6853674,1407,2851388,7476
10M_30pct_med_lognormal_SE,2,rustyclean_sylph,0.999086,0.999795,0.998910,0.999352,6853674,1407,2851388,7476
10M_30pct_med_lognormal_SE,3,rustyclean_sylph,0.999086,0.999795,0.998910,0.999352,6853674,1407,2851388,7476
10M_5pct_med_lognormal_SE,1,rustyclean_sylph,0.998935,0.999977,0.998904,0.999440,9301553,218,474907,10202
10M_5pct_med_lognormal_SE,2,rustyclean_sylph,0.998935,0.999977,0.998904,0.999440,9301553,218,474907,10202
10M_5pct_med_lognormal_SE,3,rustyclean_sylph,0.998935,0.999977,0.998904,0.999440,9301553,218,474907,10202
20M_10pct_med_even_PE,1,rustyclean_sylph,0.995429,0.999941,0.994977,0.997453,16934710,997,1901208,85498
20M_10pct_med_even_PE,2,rustyclean_sylph,0.995429,0.999941,0.994977,0.997453,16934710,997,1901208,85498
20M_10pct_med_even_PE,3,rustyclean_sylph,0.995429,0.999941,0.994977,0.997453,16934710,997,1901208,85498
20M_50pct_med_lognormal_PE,1,rustyclean_sylph,0.999243,0.999499,0.999008,0.999253,9765630,4894,9503220,9697
20M_50pct_med_lognormal_PE,2,rustyclean_sylph,0.999243,0.999499,0.999008,0.999253,9765630,4894,9503220,9697
20M_50pct_med_lognormal_PE,3,rustyclean_sylph,0.999243,0.999499,0.999008,0.999253,9765630,4894,9503220,9697
20M_90pct_med_lognormal_PE,1,rustyclean_sylph,0.999436,0.995519,0.998994,0.997254,1953181,8791,17108216,1966
20M_90pct_med_lognormal_PE,2,rustyclean_sylph,0.999436,0.995519,0.998994,0.997254,1953181,8791,17108216,1966
20M_90pct_med_lognormal_PE,3,rustyclean_sylph,0.999436,0.995519,0.998994,0.997254,1953181,8791,17108216,1966
30M_50pct_high_skewed_SE,1,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
30M_50pct_high_skewed_SE,2,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
30M_50pct_high_skewed_SE,3,rustyclean_sylph,0.999706,0.999274,0.999997,0.999635,9616879,6987,14257832,32
30M_70pct_med_lognormal_SE,1,rustyclean_sylph,0.999324,0.998889,0.998905,0.998897,8812003,9805,19960796,9664
30M_70pct_med_lognormal_SE,2,rustyclean_sylph,0.999324,0.998889,0.998905,0.998897,8812003,9805,19960796,9664
30M_70pct_med_lognormal_SE,3,rustyclean_sylph,0.999324,0.998889,0.998905,0.998897,8812003,9805,19960796,9664
30M_90pct_med_lognormal_SE,1,rustyclean_sylph,0.999451,0.995751,0.998919,0.997333,2937286,12533,25663438,3179
30M_90pct_med_lognormal_SE,2,rustyclean_sylph,0.999451,0.995751,0.998919,0.997333,2937286,12533,25663438,3179
30M_90pct_med_lognormal_SE,3,rustyclean_sylph,0.999451,0.995751,0.998919,0.997333,2937286,12533,25663438,3179
5M_1pct_low_even_SE,1,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,2,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,3,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_5pct_low_even_SE,1,rustyclean_sylph,0.999973,0.999974,0.999998,0.999986,4749626,125,237226,10
5M_5pct_low_even_SE,2,rustyclean_sylph,0.999973,0.999974,0.999998,0.999986,4749626,125,237226,10
5M_5pct_low_even_SE,3,rustyclean_sylph,0.999973,0.999974,0.999998,0.999986,4749626,125,237226,10
60M_90pct_high_lognormal_SE,1,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
60M_90pct_high_lognormal_SE,2,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
60M_90pct_high_lognormal_SE,3,rustyclean_sylph,0.999286,0.994794,0.996922,0.995857,4818546,25219,51325954,14875
60M_99pct_med_lognormal_SE,1,rustyclean_sylph,0.999500,0.954655,0.998956,0.976303,587472,27904,56455836,614
60M_99pct_med_lognormal_SE,2,rustyclean_sylph,0.999500,0.954655,0.998956,0.976303,587472,27904,56455836,614
60M_99pct_med_lognormal_SE,3,rustyclean_sylph,0.999500,0.954655,0.998956,0.976303,587472,27904,56455836,614
