dataset,reads_m,host_pct,complexity,abundance,mode,runtime_mean,runtime_sd,memory_gb,memory_sd_mb,f1_mean,f1_sd,precision_mean,recall_mean,throughput_mreads_per_min
100M_50pct_high_lognormal_SE,100.0,50,high,lognormal,SE,867.5266666666666,39.70593448507834,3.6112492879231772,11.402311186718377,0.998167,0.0,0.999415,0.996923,6.916213910811579
100M_90pct_high_lognormal_SE,100.0,90,high,lognormal,SE,1045.72,47.23836152958737,3.6133715311686196,13.508437357522979,0.995839,0.0,0.994734,0.996946,5.73767356462533
10M_0pct_med_lognormal_SE,10.0,0,med,lognormal,SE,64.5,0.600999168052666,0.2281341552734375,0.11206240849828947,1.0,0.0,1.0,1.0,9.30232558139535
10M_100pct_med_lognormal_SE,10.0,100,med,lognormal,SE,118.22333333333333,0.18717193521821573,3.557786305745443,0.90524200856761,0.0,0.0,0.0,0.0,5.075140271238053
10M_10pct_med_even_SE,10.0,10,med,even,SE,68.95666666666666,0.2829016319029155,3.5450566609700522,1.3396235545494286,0.997123,0.0,0.999941,0.994322,8.701116643302559
10M_1pct_med_lognormal_SE,10.0,1,med,lognormal,SE,64.15,0.4590206967011404,3.236090342203776,6.951382696619197,0.99945,0.0,0.999995,0.998905,9.353078721745907
10M_30pct_med_lognormal_SE,10.0,30,med,lognormal,SE,79.68666666666667,0.7366365001364873,3.5544001261393228,0.7146444963650779,0.999352,0.0,0.999795,0.99891,7.529490504475865
10M_5pct_med_lognormal_SE,10.0,5,med,lognormal,SE,68.24333333333333,2.3600070621363254,3.518787384033203,9.97329732565406,0.99944,0.0,0.999977,0.998904,8.79206760123089
20M_10pct_med_even_PE,20.0,10,med,even,PE,300.40999999999997,1.6732304085211802,3.651494344075521,3.034943418106303,0.997453,0.0,0.999941,0.994977,3.9945407942478615
20M_50pct_med_lognormal_PE,20.0,50,med,lognormal,PE,591.3,4.205222942960301,3.6916796366373696,22.337792288289787,0.999253,0.0,0.999499,0.999008,2.029426686960934
20M_90pct_med_lognormal_PE,20.0,90,med,lognormal,PE,874.8666666666667,4.989933199285675,3.669244130452474,6.716035894998154,0.997254,0.0,0.995519,0.998994,1.3716375828697707
30M_50pct_high_skewed_SE,30.0,50,high,skewed,SE,271.83,1.095034246039804,3.5655860900878906,3.945693437673733,0.999635,0.0,0.999274,0.999997,6.621785674870323
30M_70pct_med_lognormal_SE,30.0,70,med,lognormal,SE,310.18666666666667,1.919383581604604,3.572895050048828,5.110240991213746,0.998897,0.0,0.998889,0.998905,5.802957359009628
30M_90pct_med_lognormal_SE,30.0,90,med,lognormal,SE,334.78666666666663,4.343101810150594,3.578873952229818,4.335906414115294,0.997333,0.0,0.995751,0.998919,5.376558206220878
5M_1pct_low_even_SE,5.0,1,low,even,SE,35.516666666666666,0.6423654204059661,3.0576553344726562,2.523664245811225,0.999996,0.0,0.999995,0.999998,8.446738620366027
5M_5pct_low_even_SE,5.0,5,low,even,SE,37.406666666666666,0.12583057392117908,3.4168243408203125,8.73947207744168,0.999986,0.0,0.999974,0.999998,8.019960791302799
60M_90pct_high_lognormal_SE,60.0,90,high,lognormal,SE,649.2233333333334,1.2750032679696455,3.587561289469401,4.964842725544085,0.995857,0.0,0.994794,0.996922,5.5450872067650065
60M_99pct_med_lognormal_SE,60.0,99,med,lognormal,SE,673.7433333333333,12.47528089196121,3.595200856526693,18.25197824007323,0.976303,0.0,0.954655,0.998956,5.343281071426804
