dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
10M_10pct_med_even_SE,1,rustyclean_sylph,0.995079,0.999938,0.994592,0.997258,8494845,523,950173,46190
10M_10pct_med_even_SE,2,rustyclean_sylph,0.995079,0.999938,0.994592,0.997258,8494845,523,950173,46190
10M_10pct_med_even_SE,3,rustyclean_sylph,0.995079,0.999938,0.994592,0.997258,8494845,523,950173,46190
30M_50pct_high_skewed_SE,1,rustyclean_sylph,0.999697,0.999250,0.999998,0.999624,9616888,7221,14257598,23
30M_50pct_high_skewed_SE,2,rustyclean_sylph,0.999697,0.999250,0.999998,0.999624,9616888,7221,14257598,23
30M_50pct_high_skewed_SE,3,rustyclean_sylph,0.999697,0.999250,0.999998,0.999624,9616888,7221,14257598,23
5M_1pct_low_even_SE,1,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,2,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
5M_1pct_low_even_SE,3,rustyclean_sylph,0.999992,0.999995,0.999998,0.999996,4949607,26,47216,12
60M_90pct_high_lognormal_SE,1,rustyclean_sylph,0.999285,0.994634,0.997070,0.995850,4819257,26002,51325171,14164
60M_90pct_high_lognormal_SE,2,rustyclean_sylph,0.999285,0.994634,0.997070,0.995850,4819257,26002,51325171,14164
60M_90pct_high_lognormal_SE,3,rustyclean_sylph,0.999285,0.994634,0.997070,0.995850,4819257,26002,51325171,14164
