mode,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,10M_0pct_med_lognormal_SE,1,204,1042872,2026-09-04T20:59:47+08:00
kraken2,10M_0pct_med_lognormal_SE,1,311,4914184,2026-09-04T21:05:00+08:00
bowtie2,10M_1pct_med_lognormal_SE,1,571,2477168,2026-09-04T21:05:54+08:00
kraken2,10M_1pct_med_lognormal_SE,1,116,4928436,2026-09-04T21:07:51+08:00
bowtie2,10M_5pct_med_lognormal_SE,1,1736,2864996,2026-09-04T21:25:35+08:00
kraken2,10M_5pct_med_lognormal_SE,1,296,4962576,2026-09-04T21:30:43+08:00
bowtie2,10M_10pct_med_even_SE,1,529,2965604,2026-09-04T21:05:22+08:00
kraken2,10M_10pct_med_even_SE,1,198,4958048,2026-09-04T21:08:41+08:00
bowtie2,10M_30pct_med_lognormal_SE,1,612,3073552,2026-09-04T21:06:45+08:00
kraken2,10M_30pct_med_lognormal_SE,1,137,5029804,2026-09-04T21:09:03+08:00
bowtie2,10M_100pct_med_lognormal_SE,1,573,3239540,2026-09-04T21:07:58+08:00
kraken2,10M_100pct_med_lognormal_SE,1,176,5042848,2026-09-04T21:10:55+08:00
