tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
bowtie2,5M_1pct_low_even_SE,1,1151,2341648,2026-09-03T11:52:22+08:00
kraken2,5M_1pct_low_even_SE,1,126,4865608,2026-09-03T11:54:28+08:00
minimap2,5M_1pct_low_even_SE,1,1626,11923588,2026-09-03T12:21:34+08:00
centrifuge,5M_1pct_low_even_SE,1,FAILED,,2026-09-03T12:21:34+08:00
bowtie2,5M_5pct_low_even_SE,1,623,2726644,2026-09-03T11:43:34+08:00
kraken2,5M_5pct_low_even_SE,1,47,4918416,2026-09-03T11:44:22+08:00
minimap2,5M_5pct_low_even_SE,1,1713,11992948,2026-09-03T12:12:56+08:00
centrifuge,5M_5pct_low_even_SE,1,FAILED,,2026-09-03T12:12:56+08:00
bowtie2,10M_10pct_med_even_SE,1,1844,2961956,2026-09-03T12:03:55+08:00
kraken2,10M_10pct_med_even_SE,1,369,4924076,2026-09-03T12:10:04+08:00
minimap2,10M_10pct_med_even_SE,1,1925,12351472,2026-09-03T12:42:10+08:00
centrifuge,10M_10pct_med_even_SE,1,FAILED,,2026-09-03T12:42:11+08:00
bowtie2,30M_50pct_high_skewed_SE,1,1155,3356268,2026-09-03T11:52:26+08:00
kraken2,30M_50pct_high_skewed_SE,1,280,5037784,2026-09-03T11:57:07+08:00
minimap2,30M_50pct_high_skewed_SE,1,2277,12865360,2026-09-03T12:35:04+08:00
centrifuge,30M_50pct_high_skewed_SE,1,FAILED,,2026-09-03T12:35:05+08:00
bowtie2,30M_70pct_med_lognormal_SE,1,1891,3324992,2026-09-03T12:04:51+08:00
kraken2,30M_70pct_med_lognormal_SE,1,278,5023728,2026-09-03T12:09:29+08:00
minimap2,30M_70pct_med_lognormal_SE,1,2108,12829560,2026-09-03T12:44:38+08:00
centrifuge,30M_70pct_med_lognormal_SE,1,FAILED,,2026-09-03T12:44:38+08:00
bowtie2,30M_90pct_med_lognormal_SE,1,4667,3248708,2026-09-03T13:13:59+08:00
kraken2,30M_90pct_med_lognormal_SE,1,274,5020912,2026-09-03T13:18:34+08:00
minimap2,30M_90pct_med_lognormal_SE,1,2380,12735384,2026-09-03T13:58:25+08:00
centrifuge,30M_90pct_med_lognormal_SE,1,FAILED,,2026-09-03T13:58:27+08:00
bowtie2,60M_90pct_high_lognormal_SE,1,646,3540160,2026-09-03T12:16:59+08:00
kraken2,60M_90pct_high_lognormal_SE,1,359,7061704,2026-09-03T12:22:58+08:00
minimap2,60M_90pct_high_lognormal_SE,1,1100,14102880,2026-09-03T12:41:19+08:00
centrifuge,60M_90pct_high_lognormal_SE,1,FAILED,,2026-09-03T12:41:19+08:00
bowtie2,60M_99pct_med_lognormal_SE,1,689,3561124,2026-09-03T12:17:42+08:00
kraken2,60M_99pct_med_lognormal_SE,1,312,7037416,2026-09-03T12:22:54+08:00
minimap2,60M_99pct_med_lognormal_SE,1,1115,13535660,2026-09-03T12:41:30+08:00
centrifuge,60M_99pct_med_lognormal_SE,1,FAILED,,2026-09-03T12:41:30+08:00
