tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_baseline_k2_memmap,30M_50pct_high_skewed_SE,1,541.46,5063332,2026-09-04T20:19:24+08:00
rustyclean_baseline_k2_memmap,30M_50pct_high_skewed_SE,2,528.40,5050004,2026-09-04T20:28:13+08:00
rustyclean_baseline_k2_memmap,30M_50pct_high_skewed_SE,3,483.23,5022432,2026-09-04T20:36:16+08:00
rustyclean_baseline_k2_memmap,60M_90pct_high_lognormal_SE,1,810.89,7036744,2026-09-04T20:23:53+08:00
rustyclean_baseline_k2_memmap,60M_90pct_high_lognormal_SE,2,777.05,7037572,2026-09-04T20:36:51+08:00
rustyclean_baseline_k2_memmap,60M_90pct_high_lognormal_SE,3,737.98,7036836,2026-09-04T20:49:09+08:00
rustyclean_baseline_k2_memmap,60M_99pct_med_lognormal_SE,1,803.81,6985824,2026-09-04T20:30:04+08:00
rustyclean_baseline_k2_memmap,60M_99pct_med_lognormal_SE,2,818.01,7018964,2026-09-04T20:43:43+08:00
rustyclean_baseline_k2_memmap,60M_99pct_med_lognormal_SE,3,873.40,7015976,2026-09-04T20:58:16+08:00
rustyclean_baseline_k2_memmap,100M_50pct_high_lognormal_SE,3,1844.67,10069700,2026-09-04T20:21:52+08:00
rustyclean_baseline_k2_memmap,100M_50pct_high_lognormal_SE,1,1495.20,10072916,2026-09-04T20:43:13+08:00
rustyclean_baseline_k2_memmap,100M_50pct_high_lognormal_SE,2,1584.69,10071876,2026-09-04T21:09:38+08:00
rustyclean_baseline_k2_memmap,100M_50pct_high_lognormal_SE,3,1534.91,10072164,2026-09-04T21:35:13+08:00
rustyclean_baseline_k2_memmap,100M_90pct_high_lognormal_SE,1,1427.22,12899404,2026-09-04T20:43:57+08:00
rustyclean_baseline_k2_memmap,100M_90pct_high_lognormal_SE,2,1421.51,12897244,2026-09-04T21:07:42+08:00
rustyclean_baseline_k2_memmap,100M_90pct_high_lognormal_SE,3,1252.09,12934052,2026-09-04T21:28:34+08:00
