dataset,rep,runtime_s,memory_gib,accuracy,precision,recall,f1,microbial_loss_pct,host_carry_pct,tp,fp,fn,tn
5M_1pct_low_even_SE,1,254.130000,4.537100,1.000000,1.000000,1.000000,1.000000,0.000000,0.000040,4949619,2,0,47240
5M_1pct_low_even_SE,2,85.950000,4.537000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000040,4949619,2,0,47240
5M_1pct_low_even_SE,3,85.680000,4.534800,1.000000,1.000000,1.000000,1.000000,0.000000,0.000040,4949619,2,0,47240
10M_10pct_med_even_SE,1,296.230000,4.538400,0.997854,0.999996,0.997619,0.998806,0.238098,0.000411,8520699,35,20336,950661
10M_10pct_med_even_SE,2,145.130000,4.537400,0.997854,0.999996,0.997619,0.998806,0.238098,0.000411,8520699,35,20336,950661
10M_10pct_med_even_SE,3,143.540000,4.537900,0.997854,0.999996,0.997619,0.998806,0.238098,0.000411,8520699,35,20336,950661
30M_50pct_high_skewed_SE,1,327.580000,4.536700,0.999978,0.999945,1.000000,0.999973,0.000021,0.005469,9616909,526,2,14264293
30M_50pct_high_skewed_SE,2,317.880000,4.535700,0.999978,0.999945,1.000000,0.999973,0.000021,0.005469,9616909,526,2,14264293
30M_50pct_high_skewed_SE,3,329.110000,4.535900,0.999978,0.999945,1.000000,0.999973,0.000021,0.005469,9616909,526,2,14264293
60M_90pct_high_lognormal_SE,1,441.590000,4.539800,0.999864,0.999620,0.998801,0.999210,0.119874,0.038017,4827627,1836,5794,51349337
60M_90pct_high_lognormal_SE,2,1171.650000,4.538300,0.999864,0.999620,0.998801,0.999210,0.119874,0.038017,4827627,1836,5794,51349337
60M_90pct_high_lognormal_SE,3,438.010000,4.541900,0.999864,0.999620,0.998801,0.999210,0.119874,0.038017,4827627,1836,5794,51349337
100M_50pct_high_lognormal_SE,1,969.830000,4.540800,0.999426,0.999958,0.998789,0.999373,0.121076,0.004178,40232499,1681,48771,47548768
100M_50pct_high_lognormal_SE,2,1762.380000,4.544400,0.999426,0.999958,0.998789,0.999373,0.121076,0.004178,40232499,1681,48771,47548768
100M_50pct_high_lognormal_SE,3,953.680000,4.543900,0.999426,0.999958,0.998789,0.999373,0.121076,0.004178,40232499,1681,48771,47548768
100M_90pct_high_lognormal_SE,1,1173.920000,4.539200,0.999863,0.999603,0.998802,0.999203,0.119774,0.039654,8046342,3192,9649,85581938
100M_90pct_high_lognormal_SE,2,2092.470000,4.540600,0.999863,0.999603,0.998802,0.999203,0.119774,0.039654,8046342,3192,9649,85581938
100M_90pct_high_lognormal_SE,3,1184.830000,4.543300,0.999863,0.999603,0.998802,0.999203,0.119774,0.039654,8046342,3192,9649,85581938
