dataset,rep,runtime_s,memory_gib,tp,fp,fn,tn,accuracy,precision,recall,f1,microbial_loss_pct,host_carry_pct
5M_1pct_low_even_SE,1,254.13,4.5371,4949619,2,0,47240,1.000000,1.000000,1.000000,1.000000,0.0042,0.0000
5M_1pct_low_even_SE,2,85.95,4.5370,4949619,2,0,47240,1.000000,1.000000,1.000000,1.000000,0.0042,0.0000
5M_1pct_low_even_SE,3,85.68,4.5348,4949619,2,0,47240,1.000000,1.000000,1.000000,1.000000,0.0042,0.0000
10M_10pct_med_even_SE,1,296.23,4.5384,8520699,35,20336,950661,0.997854,0.999996,0.997619,0.998806,0.0037,0.2387
10M_10pct_med_even_SE,2,145.13,4.5374,8520699,35,20336,950661,0.997854,0.999996,0.997619,0.998806,0.0037,0.2387
10M_10pct_med_even_SE,3,143.54,4.5379,8520699,35,20336,950661,0.997854,0.999996,0.997619,0.998806,0.0037,0.2387
30M_50pct_high_skewed_SE,1,327.58,4.5367,9616909,526,2,14264293,0.999978,0.999945,1.000000,0.999973,0.0037,0.0000
30M_50pct_high_skewed_SE,2,317.88,4.5357,9616909,526,2,14264293,0.999978,0.999945,1.000000,0.999973,0.0037,0.0000
30M_50pct_high_skewed_SE,3,329.11,4.5359,9616909,526,2,14264293,0.999978,0.999945,1.000000,0.999973,0.0037,0.0000
60M_90pct_high_lognormal_SE,1,441.59,4.5398,4827627,1836,5794,51349337,0.999864,0.999620,0.998801,0.999210,0.0036,0.1200
60M_90pct_high_lognormal_SE,2,1171.65,4.5383,4827627,1836,5794,51349337,0.999864,0.999620,0.998801,0.999210,0.0036,0.1200
60M_90pct_high_lognormal_SE,3,438.01,4.5419,4827627,1836,5794,51349337,0.999864,0.999620,0.998801,0.999210,0.0036,0.1200
100M_50pct_high_lognormal_SE,1,969.83,4.5408,40232499,1681,48771,47548768,0.999426,0.999958,0.998789,0.999373,0.0035,0.1212
100M_50pct_high_lognormal_SE,2,1762.38,4.5444,40232499,1681,48771,47548768,0.999426,0.999958,0.998789,0.999373,0.0035,0.1212
100M_50pct_high_lognormal_SE,3,953.68,4.5439,40232499,1681,48771,47548768,0.999426,0.999958,0.998789,0.999373,0.0035,0.1212
100M_90pct_high_lognormal_SE,1,1173.92,4.5392,8046342,3192,9649,85581938,0.999863,0.999603,0.998802,0.999203,0.0037,0.1199
100M_90pct_high_lognormal_SE,2,2092.47,4.5406,8046342,3192,9649,85581938,0.999863,0.999603,0.998802,0.999203,0.0037,0.1199
100M_90pct_high_lognormal_SE,3,1184.83,4.5433,8046342,3192,9649,85581938,0.999863,0.999603,0.998802,0.999203,0.0037,0.1199
