dataset,rep,elapsed_s,max_rss_kb,accuracy,precision,recall,f1,microbial_loss_pct,host_carry_pct,tp,fp,fn,tn
5M_1pct_low_even_SE,1,89.77,4757724,1.0,1.0,1.0,1.0,0.0,0.0042,4949619,2,0,47240
5M_1pct_low_even_SE,2,91.02,4756620,1.0,1.0,1.0,1.0,0.0,0.0042,4949619,2,0,47240
5M_1pct_low_even_SE,3,90.32,4755848,1.0,1.0,1.0,1.0,0.0,0.0042,4949619,2,0,47240
30M_50pct_high_skewed_SE,1,505.53,4759916,0.999999,1.0,0.999997,0.999998,0.0003,0.0,9616878,0,33,14264819
30M_50pct_high_skewed_SE,2,810.97,4757600,0.999999,1.0,0.999997,0.999998,0.0003,0.0,9616878,0,33,14264819
30M_50pct_high_skewed_SE,3,550.39,4758104,0.999999,1.0,0.999997,0.999998,0.0003,0.0,9616878,0,33,14264819
60M_90pct_high_lognormal_SE,1,680.0,4758140,0.999734,0.999999,0.996907,0.99845,0.3093,0.0,4818469,5,14952,51351168
60M_90pct_high_lognormal_SE,2,711.44,4761064,0.999734,0.999999,0.996907,0.99845,0.3093,0.0,4818469,5,14952,51351168
60M_90pct_high_lognormal_SE,3,616.95,4759812,0.999734,0.999999,0.996907,0.99845,0.3093,0.0,4818469,5,14952,51351168
100M_50pct_high_lognormal_SE,1,1746.27,4761816,0.998576,1.0,0.996896,0.998446,0.3104,0.0,40156242,1,125028,47550448
100M_50pct_high_lognormal_SE,2,1453.14,4760996,0.998576,1.0,0.996896,0.998446,0.3104,0.0,40156242,1,125028,47550448
100M_50pct_high_lognormal_SE,3,1855.29,4764004,0.998576,1.0,0.996896,0.998446,0.3104,0.0,40156242,1,125028,47550448
10M_10pct_med_even_SE,1,193.34,4760188,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
10M_10pct_med_even_SE,2,118.49,4760348,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
10M_10pct_med_even_SE,3,114.31,4759548,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
