index,dataset,elapsed_s,max_rss_kb,accuracy,precision,recall,f1,microbial_loss_pct,host_carry_pct,tp,fp,fn,tn
panhuman,human,1,70.31,4758156,0.999963,0.999951,0.999975,0.999963,0.0025,0.0049,4976789,246,126,4988897
human,human,1,239.98,4759112,0.998856,0.997746,0.999968,0.998856,0.0032,0.2254,4976757,11244,158,4977899
panhuman,monkey,1,14.06,4759084,0.765616,0.680388,0.999974,0.809790,0.0026,46.7752,4977151,2338017,129,2660391
monkey,monkey,1,64.25,4757128,0.999974,0.999981,0.999967,0.999974,0.0033,0.0019,4977115,93,165,4998315
panhuman,mouse,1,19.8,4758964,0.513682,0.506383,0.999973,0.672310,0.0027,97.0466,4977500,4852019,132,147662
mouse,mouse,1,12.72,4760524,0.999858,0.999941,0.999774,0.999858,0.0226,0.0059,4976508,293,1124,4999388
panhuman,pig,1,14.9,4758764,0.514076,0.506582,0.999977,0.672487,0.0023,96.9668,4977127,4847792,113,151643
pig,pig,1,78.34,4756704,0.999976,0.999982,0.999970,0.999976,0.0030,0.0018,4977089,91,151,4999344
panhuman,rat,1,14.8,4757628,0.513317,0.506182,0.999975,0.672134,0.0025,97.1144,4976895,4855321,125,144267
rat,rat,1,86.28,4758136,0.999954,0.999940,0.999967,0.999953,0.0033,0.0060,4976855,298,165,4999290
panhuman,rice,1,13.68,4760884,0.500063,0.499492,0.999976,0.666210,0.0024,99.7700,4977284,4987408,121,11498
rice,rice,1,11.62,628096,0.999875,0.999974,0.999776,0.999875,0.0224,0.0026,4976289,129,1116,4998777
