dataset,rep,elapsed_s,max_rss_kb,accuracy,precision,recall,f1,microbial_loss_pct,host_carry_pct,tp,fp,fn,tn
deacon,5M_1pct_low_even_SE,1,10.29,4757992,1.000000,1.000000,1.000000,1.000000,0.0000,0.0042,4949619,2,0,47240
deacon,5M_1pct_low_even_SE,2,9.25,4757772,1.000000,1.000000,1.000000,1.000000,0.0000,0.0042,4949619,2,0,47240
deacon,5M_1pct_low_even_SE,3,9.21,4758508,1.000000,1.000000,1.000000,1.000000,0.0000,0.0042,4949619,2,0,47240
deacon,10M_10pct_med_even_SE,1,14.67,4760600,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
deacon,10M_10pct_med_even_SE,2,11.88,4757352,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
deacon,10M_10pct_med_even_SE,3,12.37,4761448,0.997854,0.999996,0.997619,0.998806,0.2381,0.0037,8520699,35,20336,950661
deacon,30M_50pct_high_skewed_SE,1,35.5,4757152,0.999978,0.999945,1.000000,0.999973,0.0000,0.0037,9616909,526,2,14264293
deacon,30M_50pct_high_skewed_SE,2,26.45,4759024,0.999978,0.999945,1.000000,0.999973,0.0000,0.0037,9616909,526,2,14264293
deacon,30M_50pct_high_skewed_SE,3,23.78,4765044,0.999978,0.999945,1.000000,0.999973,0.0000,0.0037,9616909,526,2,14264293
deacon,60M_90pct_high_lognormal_SE,1,78.53999999999999,4758780,0.999864,0.999620,0.998801,0.999210,0.1199,0.0036,4827627,1836,5794,51349337
deacon,60M_90pct_high_lognormal_SE,2,39.63,4760620,0.999864,0.999620,0.998801,0.999210,0.1199,0.0036,4827627,1836,5794,51349337
deacon,60M_90pct_high_lognormal_SE,3,39.13,4761048,0.999864,0.999620,0.998801,0.999210,0.1199,0.0036,4827627,1836,5794,51349337
deacon,100M_50pct_high_lognormal_SE,1,131.01,4759564,0.999426,0.999958,0.998789,0.999373,0.1211,0.0035,40232499,1681,48771,47548768
deacon,100M_50pct_high_lognormal_SE,2,132.14,4762520,0.999426,0.999958,0.998789,0.999373,0.1211,0.0035,40232499,1681,48771,47548768
deacon,100M_50pct_high_lognormal_SE,3,196.96,4759848,0.999426,0.999958,0.998789,0.999373,0.1211,0.0035,40232499,1681,48771,47548768
deacon,100M_90pct_high_lognormal_SE,1,183.19,4757880,0.999863,0.999603,0.998802,0.999203,0.1198,0.0037,8046342,3192,9649,85581938
deacon,100M_90pct_high_lognormal_SE,2,222.47,4758216,0.999863,0.999603,0.998802,0.999203,0.1198,0.0037,8046342,3192,9649,85581938
deacon,100M_90pct_high_lognormal_SE,3,201.57,4757600,0.999863,0.999603,0.998802,0.999203,0.1198,0.0037,8046342,3192,9649,85581938
