dataset,rep,tool,accuracy,precision,recall,f1,tp,fp,tn,fn
30M_50pct_high_skewed_SE,1,rustyclean_k2_mixed,0.999188,0.999214,0.999163,0.999188,14987420,11796,14988204,12549
30M_50pct_high_skewed_SE,2,rustyclean_k2_mixed,0.999188,0.999214,0.999163,0.999188,14987420,11796,14988204,12549
30M_50pct_high_skewed_SE,3,rustyclean_k2_mixed,0.999188,0.999214,0.999163,0.999188,14987420,11796,14988204,12549
60M_90pct_high_lognormal_SE,1,rustyclean_k2_mixed,0.999010,0.991013,0.999158,0.995069,5994901,54362,53945638,5054
60M_90pct_high_lognormal_SE,2,rustyclean_k2_mixed,0.999010,0.991013,0.999158,0.995069,5994901,54362,53945638,5054
60M_90pct_high_lognormal_SE,3,rustyclean_k2_mixed,0.999010,0.991013,0.999158,0.995069,5994901,54362,53945638,5054
100M_50pct_high_lognormal_SE,1,rustyclean_k2_mixed,0.999305,0.999459,0.999150,0.999305,49957137,27045,49972955,42481
100M_50pct_high_lognormal_SE,2,rustyclean_k2_mixed,0.999305,0.999459,0.999150,0.999305,49957137,27045,49972955,42481
100M_50pct_high_lognormal_SE,3,rustyclean_k2_mixed,0.999305,0.999459,0.999150,0.999305,49957137,27045,49972955,42481
100M_90pct_high_lognormal_SE,1,rustyclean_k2_mixed,0.999117,0.992073,0.999154,0.995601,9991461,79836,89920164,8464
100M_90pct_high_lognormal_SE,2,rustyclean_k2_mixed,0.999117,0.992073,0.999154,0.995601,9991461,79836,89920164,8464
100M_90pct_high_lognormal_SE,3,rustyclean_k2_mixed,0.999117,0.992073,0.999154,0.995601,9991461,79836,89920164,8464
