tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_k2_mixed_norecheck,30M_50pct_high_skewed_SE,1,343.97,16246608,2026-09-04T20:47:04+08:00
rustyclean_k2_mixed_norecheck,30M_50pct_high_skewed_SE,2,367.60,16272792,2026-09-04T20:53:19+08:00
rustyclean_k2_mixed_norecheck,30M_50pct_high_skewed_SE,3,359.56,16252972,2026-09-04T20:59:19+08:00
rustyclean_k2_mixed_norecheck,60M_90pct_high_lognormal_SE,3,786.40,16269480,2026-09-04T20:50:36+08:00
rustyclean_k2_mixed_norecheck,60M_90pct_high_lognormal_SE,1,795.10,16312732,2026-09-04T21:02:56+08:00
rustyclean_k2_mixed_norecheck,60M_90pct_high_lognormal_SE,2,796.61,16352488,2026-09-04T21:16:13+08:00
rustyclean_k2_mixed_norecheck,60M_90pct_high_lognormal_SE,3,815.41,16237180,2026-09-04T21:29:49+08:00
rustyclean_k2_mixed_norecheck,60M_99pct_med_lognormal_SE,1,786.56,16177972,2026-09-04T21:10:14+08:00
rustyclean_k2_mixed_norecheck,60M_99pct_med_lognormal_SE,2,729.80,16190048,2026-09-04T21:22:24+08:00
rustyclean_k2_mixed_norecheck,60M_99pct_med_lognormal_SE,3,795.89,16160728,2026-09-04T21:35:40+08:00
rustyclean_k2_mixed_norecheck,100M_50pct_high_lognormal_SE,3,1639.06,16304836,2026-09-04T21:23:14+08:00
rustyclean_k2_mixed_norecheck,100M_50pct_high_lognormal_SE,1,2017.80,16352192,2026-09-04T21:32:09+08:00
rustyclean_k2_mixed_norecheck,100M_50pct_high_lognormal_SE,2,1708.72,16396580,2026-09-04T22:00:38+08:00
rustyclean_k2_mixed_norecheck,100M_50pct_high_lognormal_SE,3,2104.43,16417592,2026-09-04T22:35:43+08:00
rustyclean_k2_mixed_norecheck,100M_90pct_high_lognormal_SE,3,1362.58,16273324,2026-09-04T21:19:39+08:00
rustyclean_k2_mixed_norecheck,100M_90pct_high_lognormal_SE,1,1242.76,16324256,2026-09-04T21:21:28+08:00
rustyclean_k2_mixed_norecheck,100M_90pct_high_lognormal_SE,2,1247.76,16292628,2026-09-04T21:42:16+08:00
rustyclean_k2_mixed_norecheck,100M_90pct_high_lognormal_SE,3,1230.51,16305056,2026-09-04T22:02:47+08:00
