sample_id	retained_reads	id_digest
h90_r15	111705	
h90_r19	105201	
h90_r18	110982	
h90_r20	112562	
h01_r10	985093	
h01_r16	982870	
h70_r05	298766	
h01_r15	979936	
h90_r10	108179	
h90_r07	104449	
h01_r11	984001	
h70_r15	298901	
h70_r17	299293	
h01_r05	980701	
h05_r07	945350	
h05_r05	943153	
h10_r18	888167	
h50_r10	498889	
h05_r13	946367	
h10_r03	884911	
h10_r13	895829	
h01_r09	981591	
h10_r02	896143	
h05_r16	945663	
h50_r01	497469	
h90_r14	104598	
h10_r06	888694	
h10_r09	894495	
h90_r11	110625	
h05_r02	941202	
h50_r04	497600	
h05_r18	937341	
h70_r06	297740	
h50_r03	490548	
h50_r08	498413	
h10_r14	895769	
h90_r13	108883	
h70_r07	301537	
h05_r11	942850	
h70_r11	298598	
h05_r12	945042	
h70_r04	299630	
h10_r11	896350	
h01_r19	982630	
h90_r16	103734	
h10_r05	894292	
h01_r17	985325	
h05_r04	945297	
h01_r07	985007	
h90_r01	111568	
h90_r04	105740	
h50_r09	498431	
h50_r18	495413	
h01_r20	984195	
h70_r12	299136	
h05_r08	942379	
h70_r13	299384	
h10_r07	894815	
h70_r08	299688	
h05_r19	945744	
h01_r14	983147	
h10_r04	895807	
h01_r01	981355	
h01_r12	984381	
h10_r15	895766	
h50_r11	498572	
h70_r16	304255	
h01_r03	984967	
h50_r12	498597	
h70_r01	299737	
h70_r18	299290	
h50_r15	498581	
h90_r06	108591	
h01_r06	980911	
h50_r07	496946	
h50_r14	497674	
h01_r13	985155	
h05_r14	946385	
h50_r05	497521	
h05_r20	944706	
h10_r12	895236	
h10_r10	896125	
h10_r20	895365	
h70_r20	296586	
h10_r16	892158	
h05_r01	943613	
h05_r09	942480	
h50_r17	499372	
h90_r02	110164	
h50_r02	498046	
h90_r12	108460	
h10_r08	895022	
h70_r03	295645	
h70_r19	299717	
h05_r15	945734	
h70_r09	309508	
h70_r14	299030	
h05_r10	945986	
h70_r10	300732	
h90_r17	110805	
h50_r06	495735	
h05_r06	939683	
h50_r19	498379	
h10_r17	895425	
h70_r02	299799	
h90_r03	104327	
h05_r03	943433	
h90_r08	105800	
h01_r18	979907	
h01_r08	982009	
h90_r05	112773	
h50_r16	497853	
h50_r20	496890	
h01_r04	980639	
h50_r13	500246	
h90_r09	103169	
h10_r01	892585	
h05_r17	943857	
h01_r02	965443	
h10_r19	896179	
