experiment,tool,dataset,rep,runtime_seconds,runtime_hms,max_memory_kb,max_memory_gb,timestamp,source
performance_k2_mixed,rustyclean_k2_mixed,30M_50pct_high_skewed_SE,1,641.33,0:10:41,16254608,15.50,2026-09-03T11:51:22+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,30M_50pct_high_skewed_SE,2,439.29,0:07:19,16242852,15.49,2026-09-03T11:58:46+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,30M_50pct_high_skewed_SE,3,439.22,0:07:19,16258876,15.51,2026-09-03T12:06:05+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,1,878.56,0:14:38,16254836,15.50,2026-09-03T11:59:28+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,2,742.00,0:12:22,16259188,15.51,2026-09-03T12:11:50+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_90pct_high_lognormal_SE,3,756.42,0:12:36,16251864,15.50,2026-09-03T12:24:27+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,1,836.17,0:13:56,16182884,15.43,2026-09-03T11:54:37+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,2,683.05,0:11:23,16208168,15.46,2026-09-03T12:06:00+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,60M_99pct_med_lognormal_SE,3,712.84,0:11:52,16176548,15.43,2026-09-03T12:17:59+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,1,1524.08,0:25:24,16320716,15.56,2026-09-03T12:16:41+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,2,1574.37,0:26:14,16350824,15.59,2026-09-03T12:42:56+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_50pct_high_lognormal_SE,3,1599.73,0:26:39,16293792,15.54,2026-09-03T13:09:38+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,1,1549.26,0:25:49,16309592,15.55,2026-09-03T12:26:48+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,2,1816.80,0:30:16,16390892,15.63,2026-09-03T12:57:05+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_k2_mixed,rustyclean_k2_mixed,100M_90pct_high_lognormal_SE,3,1382.57,0:23:02,16279808,15.53,2026-09-03T13:20:09+08:00,../k2_index_ablation/metrics/performance_k2_mixed.csv
performance_backend_runtime,bowtie2,5M_1pct_low_even_SE,1,335,0:05:35,2339260,2.23,2026-09-04T00:47:25+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,5M_1pct_low_even_SE,1,90,0:01:30,4861048,4.64,2026-09-04T00:48:56+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,minimap2,5M_1pct_low_even_SE,1,1082,0:18:02,11931996,11.38,2026-09-04T01:07:00+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,centrifuge,5M_1pct_low_even_SE,1,80,0:01:20,1464912,1.40,2026-09-04T01:08:20+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,bowtie2,5M_5pct_low_even_SE,1,240,0:04:00,2726152,2.60,2026-09-04T00:47:50+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
performance_backend_runtime,kraken2,5M_5pct_low_even_SE,1,84,0:01:24,4921416,4.69,2026-09-04T00:49:15+08:00,../backend_runtime_v2/metrics/performance_backend_runtime.csv
