tool,dataset,rep,runtime_seconds,max_memory_kb,timestamp
rustyclean_t2t_only,20M_10pct_med_even_PE,2,1132,3635760,2026-09-04T21:16:13+08:00
rustyclean_t2t_only,20M_10pct_med_even_PE,3,621,3636980,2026-09-04T21:26:35+08:00
rustyclean_t2t_only,20M_10pct_med_even_PE,1,1917,3649736,2026-09-04T21:31:32+08:00
hostile,20M_10pct_med_even_PE,1,490,3789324,2026-09-04T21:34:46+08:00
rustyclean_t2t_only,20M_10pct_med_even_PE,2,605,3644916,2026-09-04T21:41:43+08:00
rustyclean_t2t_only,20M_10pct_med_even_PE,3,469,3649236,2026-09-04T21:49:33+08:00
hostile,20M_10pct_med_even_PE,1,408,3797760,2026-09-04T21:56:24+08:00
kneaddata,20M_10pct_med_even_PE,1,FAILED,,2026-09-04T21:57:04+08:00
kneaddata,20M_10pct_med_even_PE,1,1337,1186100,2026-09-04T21:57:04+08:00
kneaddata,20M_10pct_med_even_PE,1,1012,1198304,2026-09-04T22:13:19+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,1,1595,3705388,2026-09-04T21:08:38+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,1,810,3708252,2026-09-04T21:13:55+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,2,700,3707072,2026-09-04T21:25:35+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,3,873,3710760,2026-09-04T21:40:20+08:00
hostile,20M_50pct_med_lognormal_PE,1,916,3827484,2026-09-04T21:55:37+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,2,3490,3685184,2026-09-04T22:06:51+08:00
kneaddata,20M_50pct_med_lognormal_PE,1,1358,1179576,2026-09-04T22:18:16+08:00
rustyclean_t2t_only,20M_50pct_med_lognormal_PE,3,1638,3705268,2026-09-04T22:34:10+08:00
hostile,20M_50pct_med_lognormal_PE,1,1172,3821632,2026-09-04T22:53:43+08:00
kneaddata,20M_50pct_med_lognormal_PE,1,4709,1178444,2026-09-05T00:12:13+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,1,1386,3719320,2026-09-04T21:24:52+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,1,2973,3704052,2026-09-04T21:36:36+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,2,1099,3723876,2026-09-04T21:43:13+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,3,1191,3720252,2026-09-04T22:03:05+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,2,1595,3716184,2026-09-04T22:03:12+08:00
hostile,20M_90pct_med_lognormal_PE,1,1354,3825136,2026-09-04T22:25:40+08:00
kneaddata,20M_90pct_med_lognormal_PE,1,2144,1181672,2026-09-04T23:01:25+08:00
rustyclean_t2t_only,20M_90pct_med_lognormal_PE,3,5298,3688332,2026-09-04T23:31:32+08:00
hostile,20M_90pct_med_lognormal_PE,1,1816,3822732,2026-09-05T00:01:49+08:00
kneaddata,20M_90pct_med_lognormal_PE,1,2778,1177348,2026-09-05T00:48:13+08:00
